"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1802853578664751591","Mon Jun 17 23:59:23 +0000 2024","0","07.00 WIB Hindari Menggunakan Handphone Saat Mengemudi #JM_Tertib_Berlalulintas_2024","1802853580753477926","","PTJASAMARGA","in","DKI Jakarta","0","0","0","https://x.com/PTJASAMARGA/status/1802853580753477926","540625251","PTJASAMARGA"
"1802850787082870873","Mon Jun 17 23:48:17 +0000 2024","0","Mulai merasa ini handphone gede bener sampe bisa jadi talenan.","1802850787082870873","","","in","Kagawa-ken, Japan","0","0","0","https://x.com/hanfa13/status/1802850787082870873","99755941","hanfa13"
"1802849560449929651","Mon Jun 17 23:43:25 +0000 2024","0","idenya konu bgt astagaa asal bapak tau notifikasi yg paling jarang aku buka (dan mungkin orang lain juga) itu notifikasi sms. boro-boro di baca ini notifikasinya di handphone aku aja sampai numpuk ginii https://t.co/VT4DcT2OKB","1802849560449929651","https://pbs.twimg.com/media/GQUCHxJaAAEZHgf.jpg","","in","Nusa Tenggara Barat, Indonesia","0","0","0","https://x.com/nsyahrainn/status/1802849560449929651","2998990542","nsyahrainn"
"1797576344915914908","Mon Jun 17 23:42:34 +0000 2024","0","@iam_de98 Halo @iam_de98. Jika yang kamu maksud kendala tidak terima kode OTP pastikan kamu menggunakan nomor handphone dan jaringan internet dari nomor handphone yang terdaftar untuk myBCA tersedia pulsa reguler minimal Rp1.000 - dan pastikan jaringan stabil tidak ada (1/2) ^Enzy","1802849345857003837","","iam_de98","in","","0","0","0","https://x.com/GoodLifeBCA/status/1802849345857003837","17824435","GoodLifeBCA"
"1802848194679701910","Mon Jun 17 23:37:59 +0000 2024","0","Gantungan Handphone Gantungan Headset Bluetooth dengan harga Rp7.900. Yuk dibelii https://t.co/AGXziBQ33X https://t.co/odJWH56qBS","1802848194679701910","https://pbs.twimg.com/media/GQUA31ObgAAlDtb.jpg","","in","Indonesia","0","0","0","https://x.com/ceweseungch/status/1802848194679701910","1792917934408355840","ceweseungch"
"1802846065022112156","Mon Jun 17 23:29:32 +0000 2024","0","06.30 WIB Hindari Menggunakan Handphone Saat Mengemudi #JM_Tertib_Berlalulintas_2024","1802846067475853501","","PTJASAMARGA","in","DKI Jakarta","0","0","0","https://x.com/PTJASAMARGA/status/1802846067475853501","540625251","PTJASAMARGA"
"1802844625377415191","Mon Jun 17 23:23:48 +0000 2024","0","saya tdak pahm sama sekali aplikasi tambahan yang dimaksud sistem aplikasi saya di handphone semuanya download dari playstore aplikasi resmi semua tolonglah perbaiki sistemnya jangan banyak merugikan driver yang kerja jujur. https://t.co/ibJWqYpQsX","1802844625377415191","https://pbs.twimg.com/media/GQT9oY8akAAayzg.jpg","","in","Jakarta Timur, DKI Jakarta","0","0","0","https://x.com/Irfan03904591/status/1802844625377415191","1313365990369972226","Irfan03904591"
"1802838683483271593","Mon Jun 17 23:00:12 +0000 2024","0","06.00 WIB Hindari Menggunakan Handphone Saat Mengemudi #JM_Tertib_Berlalulintas_2024","1802838686553329723","","PTJASAMARGA","in","DKI Jakarta","0","0","0","https://x.com/PTJASAMARGA/status/1802838686553329723","540625251","PTJASAMARGA"
"1802837592855253242","Mon Jun 17 22:55:51 +0000 2024","1","Jual Flexible Board Samsung A920 - A9 2018 - Konektor Board Handphone Spesifikasi : Flexible Board atau Konektor Board Handphone Samsung A920 - A9 2018. GRATIS Packing Kardus + Buble Wrap + *Lainnya (menyesuaikan order). Barang seperti di Foto iklan. https://t.co/mkwsJ3VDK6","1802837592855253242","https://pbs.twimg.com/media/GQT3MhjacAAMvhb.jpg","","in","Sidoarjo, Indonesia","0","8","0","https://x.com/StarNeo_Store/status/1802837592855253242","1538745334398341120","StarNeo_Store"
"1802818239954837862","Mon Jun 17 21:39:06 +0000 2024","0","Case Handphone Motif Sketsa Hati Untuk IPhone 12 13 11 : https://t.co/Bi08RWg05G https://t.co/xeyaLG4QO6","1802818274495021432","https://pbs.twimg.com/media/GQTlpJWbcAA5-ir.jpg","BlanjaMurahYuk","in","","0","1","0","https://x.com/BlanjaMurahYuk/status/1802818274495021432","1563366426341040129","BlanjaMurahYuk"
"1802702216668880905","Mon Jun 17 19:27:00 +0000 2024","0","@hiinsky Pagi Kak maaf ya jadi gak nyaman. Kami sarankan coba aktifkan mode pesawat 1-2 menit atau restart Hp lalu lock jaringan ke 4G/LTE terlebih dahulu. Bisa juga pindahkan SIM card ke handphone lain ya Kak. Thanks ^Kai","1802785031108059480","","hiinsky","in","Indonesia","0","1","0","https://x.com/3CareIndonesia/status/1802785031108059480","1068065299214163968","3CareIndonesia"
"1802757948902609239","Mon Jun 17 17:39:23 +0000 2024","0","Cek Gantungan Handphone Gantungan Headset Bluetooth Gantungan Kunci Gantungan Tas Aksesoris Liontin Dengan Mutiara dengan harga Rp7.900. Dapatkan di Shopee sekarang! https://t.co/WpKG0JWvzG https://t.co/M8SpU5cpMB","1802757948902609239","https://pbs.twimg.com/media/GQSuy9jaIAAji8k.jpg","","in","","0","0","0","https://x.com/PutriLesta66551/status/1802757948902609239","1740429586348007424","PutriLesta66551"
"1802701253170147498","Mon Jun 17 17:21:18 +0000 2024","0","@_minjoee3112 oh i mmg tegur je sbb i bayar mahal nk tgok hanbin bukan handphone die ","1802753397478862906","","_minjoee3112","in","Malaysia","0","0","0","https://x.com/missDVIP92/status/1802753397478862906","50172064","missDVIP92"
"1802752172150726726","Mon Jun 17 17:16:26 +0000 2024","109","rebahan main handphone kamar dingin colokan deket kasur adalah salah satu bukti bahwa nyaman bisa dibentuk sendiri gak harus dari orang lain.","1802752172150726726","","","in","","0","3","35","https://x.com/jejakrasa___/status/1802752172150726726","1618530799049125890","jejakrasa___"
"1802746497479680050","Mon Jun 17 16:53:53 +0000 2024","0","semoga yg buat chaos psl exo harini tak tenang tidur malam esok pagi bangun handphone tak on plug masa caj dan segalanya yg buruk sbb tak habis2 nk jatuhkan this group gn ","1802746497479680050","","","in","EX9","0","0","0","https://x.com/soobaeeeeri/status/1802746497479680050","1039426009869639680","soobaeeeeri"
"1802746414700851677","Mon Jun 17 16:53:33 +0000 2024","0","Semenjak dua menjak @wan_himaa ganti hp dia makin tau fungsi kamera belakang di handphone. (Karna biasanya dia emg langsung fotoin pake kamera keburu pose duluan )","1802746414700851677","","","in","Tokyo-to, Japan","0","1","0","https://x.com/nathnnia/status/1802746414700851677","1557647394","nathnnia"
"1802743490704777398","Mon Jun 17 16:44:22 +0000 2024","0","@____renata_ meletakkan SIM card m-BCA pada slot utama dan pastikan tidak mengganti-ganti slot utama yang digunakan untuk nomor handphone m-BCA agar tidak terjadi respons yang sama. Mohon dapat melakukan verifikasi ulang aplikasi BCA mobile dengan mengakses icon (i) (di pojok (2/3) ^Dares","1802744104771821948","","____renata_","in","Jakarta - Indonesia","0","0","0","https://x.com/HaloBCA/status/1802744104771821948","620977821","HaloBCA"
"1802743490704777398","Mon Jun 17 16:44:22 +0000 2024","0","@____renata_ Sangat disayangkan atas kendala yang Ibu @____renata_ alami. Untuk kendala tersebut mohon memastikan kembali bahwa BCA mobile Ibu benar terhubung dengan SIM card nomor handphone yang telah didaftarkan m-BCA jika menggunakan handphone dengan dual SIM card mohon (1/3) ^Dares","1802744103396053072","","____renata_","in","Jakarta - Indonesia","0","0","0","https://x.com/HaloBCA/status/1802744103396053072","620977821","HaloBCA"
